league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,season_start,stat_type
ENG-Premier League,2020/21,Brighton,Adam Lallana,ENG,"MF,FW",32,1988,17.7,0,0,0,18,20,3,12,16,14,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Adam Webster,ENG,DF,25,1995,28.8,4,0,0,24,16,1,1,49,17,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Alexis Mac Allister,ARG,"MF,FW",21,1998,12.4,1,0,0,19,15,0,11,10,11,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Alireza Jahanbakhsh,IRN,"MF,FW",26,1993,5.9,3,0,0,8,4,0,29,7,8,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Andi Zeqiri,SUI,FW,21,1999,1.9,0,0,0,2,2,0,6,0,2,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Ben White,ENG,"DF,MF",22,1997,35.5,5,1,1,30,9,1,22,62,25,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Bernardo,BRA,MF,25,1995,2.3,0,0,0,1,1,0,5,2,8,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Dan Burn,ENG,"DF,MF",28,1992,22.9,5,0,0,35,6,4,37,32,25,,,1,2020,misc
ENG-Premier League,2020/21,Brighton,Danny Welbeck,ENG,FW,29,1990,17.2,0,0,0,19,17,5,3,6,7,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Davy Pröpper,NED,MF,28,1991,2.4,0,0,0,1,0,0,3,1,5,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Jakub Moder,POL,MF,21,1999,7.2,0,0,0,12,3,2,12,3,6,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Jayson Molumby,IRL,MF,20,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,José Izquierdo,COL,"FW,MF",28,1992,0.1,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Joël Veltman,NED,"DF,MF",28,1992,25.3,3,0,0,35,39,0,62,32,36,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Leandro Trossard,BEL,"MF,FW",25,1994,29.0,2,0,0,28,32,6,84,26,14,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Lewis Dunk,ENG,DF,28,1991,32.6,5,2,0,21,20,2,1,32,17,,,1,2020,misc
ENG-Premier League,2020/21,Brighton,Mathew Ryan,AUS,GK,28,1992,11.0,1,0,0,1,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Neal Maupay,FRA,"FW,MF",23,1996,27.9,1,1,0,29,44,12,11,13,12,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Pascal Groß,GER,MF,29,1991,27.6,3,0,0,19,17,5,221,20,25,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Percy Tau,RSA,MF,26,1994,1.1,0,0,0,0,1,0,2,1,1,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Reda Khadra,GER,"FW,MF",19,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Robert Sánchez,ESP,GK,22,1997,27.0,2,0,0,2,4,0,0,1,0,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Solly March,ENG,MF,26,1994,18.6,0,0,0,26,26,2,121,22,23,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Steven Alzate,COL,MF,21,1998,10.0,2,0,0,20,7,1,3,8,9,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Tariq Lamptey,GHA,MF,19,2000,9.8,4,1,1,21,28,1,35,18,8,,,0,2020,misc
ENG-Premier League,2020/21,Brighton,Yves Bissouma,MLI,MF,23,1996,34.6,8,1,0,54,32,0,7,64,72,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Ashley Barnes,ENG,FW,30,1989,14.8,4,0,0,45,49,17,8,8,5,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Ashley Westwood,ENG,MF,30,1990,37.9,7,0,0,35,43,0,179,45,13,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Bailey Peacock-Farrell,NIR,GK,23,1996,4.0,0,0,0,0,1,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Ben Mee,ENG,DF,30,1989,29.9,3,0,0,15,20,1,0,44,15,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Charlie Taylor,ENG,DF,26,1993,27.0,1,0,0,9,34,0,105,28,30,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Chris Wood,NZL,FW,28,1991,30.5,0,0,0,37,23,25,7,2,7,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Dale Stephens,ENG,MF,31,1989,2.9,1,0,0,8,2,0,0,8,5,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Dwight McNeil,ENG,MF,20,1999,34.1,1,0,0,12,39,2,243,31,23,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Erik Pieters,NED,"DF,MF",31,1988,14.1,1,0,0,26,20,1,19,12,22,,,1,2020,misc
ENG-Premier League,2020/21,Burnley,Jack Cork,ENG,MF,31,1989,15.0,2,0,0,21,12,0,3,16,13,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,James Tarkowski,ENG,DF,27,1992,36.0,6,0,0,27,29,3,6,48,40,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Jay Rodriguez,ENG,"FW,MF",31,1989,14.1,3,0,0,31,18,15,4,2,15,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Jimmy Dunne,IRL,DF,22,1997,3.0,1,0,0,2,3,0,0,6,3,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Joel Mumbongo,SWE,FW,21,1999,0.4,1,0,0,1,2,1,0,1,0,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Josh Benson,ENG,MF,20,1999,2.9,0,0,0,4,1,0,5,3,4,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Josh Brownhill,ENG,MF,24,1995,31.3,2,0,0,37,32,2,17,71,25,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Jóhann Berg Guðmundsson,ISL,MF,29,1990,15.1,2,0,0,11,16,2,32,15,10,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Kevin Long,IRL,DF,29,1990,7.1,2,0,0,8,4,0,1,6,7,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Lewis Richardson,ENG,"FW,MF",17,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Matthew Lowton,ENG,DF,31,1989,34.0,5,0,0,19,13,0,82,61,33,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Matěj Vydra,CZE,FW,28,1992,15.2,0,0,0,6,13,12,3,4,6,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Nick Pope,ENG,GK,28,1992,32.0,1,0,0,2,3,0,0,2,2,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Phil Bardsley,SCO,DF,35,1985,3.0,2,0,0,8,4,0,10,5,5,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Robbie Brady,IRL,MF,28,1992,11.7,3,0,0,21,9,2,44,9,16,,,0,2020,misc
ENG-Premier League,2020/21,Burnley,Will Norris,ENG,GK,26,1993,2.0,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Andreas Christensen,DEN,DF,24,1996,15.2,2,1,0,9,7,0,0,20,6,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Antonio Rüdiger,GER,DF,27,1993,19.0,0,0,0,16,11,1,3,18,23,,,1,2020,misc
ENG-Premier League,2020/21,Chelsea,Ben Chilwell,ENG,"DF,MF",23,1996,25.4,3,0,0,23,42,8,136,25,19,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Billy Gilmour,SCO,MF,19,2001,2.9,0,0,0,2,2,0,2,2,2,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Callum Hudson-Odoi,ENG,"MF,FW",19,2000,11.8,0,0,0,10,8,5,59,6,15,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Christian Pulisic,USA,"MF,FW",21,1998,19.3,2,0,0,14,33,5,36,11,14,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,César Azpilicueta,ESP,"DF,MF",30,1989,24.3,5,1,0,32,14,5,39,24,30,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Emerson Palmieri,ITA,"DF,MF",25,1994,1.0,0,0,0,3,0,0,2,2,2,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Fikayo Tomori,ENG,DF,22,1997,0.5,0,0,0,1,0,0,0,2,1,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Hakim Ziyech,MAR,"FW,MF",27,1993,13.0,3,0,0,19,15,4,61,7,8,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Jorginho,ITA,MF,28,1991,22.3,2,0,0,32,29,0,4,35,30,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Kai Havertz,GER,"MF,FW",21,1999,16.9,2,0,0,27,15,7,12,4,8,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Kepa Arrizabalaga,ESP,GK,25,1994,6.5,1,0,0,1,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Kurt Zouma,FRA,DF,25,1994,22.5,3,0,0,17,6,0,0,25,9,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Marcos Alonso,ESP,"MF,DF",29,1990,10.7,2,0,0,13,12,2,25,13,4,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Mason Mount,ENG,MF,21,1999,32.1,2,0,0,51,44,4,171,32,34,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Mateo Kovačić,CRO,MF,26,1994,20.2,4,0,0,17,30,0,6,15,27,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,N'Golo Kanté,FRA,MF,29,1991,23.8,7,0,0,37,7,0,8,56,45,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Olivier Giroud,FRA,FW,33,1986,8.3,1,0,0,16,6,6,3,2,4,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Reece James,ENG,"DF,MF",20,1999,26.4,3,0,0,31,17,1,144,17,36,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Ross Barkley,ENG,MF,26,1993,0.5,0,0,0,2,2,1,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Ruben Loftus-Cheek,ENG,FW,24,1996,0.7,0,0,0,1,2,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Tammy Abraham,ENG,FW,22,1997,11.6,0,0,0,22,12,5,6,4,6,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Thiago Silva,BRA,DF,35,1984,21.5,5,1,1,14,16,0,3,33,12,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Timo Werner,GER,"FW,MF",24,1996,28.9,2,0,0,27,31,26,35,6,9,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Willy Caballero,ARG,GK,38,1981,1.0,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Chelsea,Édouard Mendy,SEN,GK,28,1992,30.5,2,0,0,1,2,0,0,2,0,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Andros Townsend,ENG,"MF,FW",29,1991,25.1,0,0,0,28,54,2,156,40,42,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Cheikhou Kouyaté,SEN,DF,30,1989,34.7,4,0,0,36,15,0,3,36,37,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Christian Benteke,BEL,FW,29,1990,20.2,3,1,1,35,20,15,3,4,7,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Eberechi Eze,ENG,MF,22,1998,28.4,3,0,0,18,71,1,85,20,15,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Gary Cahill,ENG,DF,34,1985,20.0,3,0,0,12,3,3,0,15,9,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Jack Butland,ENG,GK,27,1993,1.0,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,James McArthur,SCO,MF,32,1987,16.3,3,0,0,32,14,0,10,25,32,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,James McCarthy,IRL,MF,29,1990,9.1,1,0,0,6,4,0,11,8,11,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,James Tomkins,ENG,DF,31,1989,6.1,1,0,0,3,1,0,0,4,2,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Jaïro Riedewald,NED,MF,23,1996,20.2,4,0,0,22,5,0,2,27,16,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Jean-Philippe Mateta,FRA,FW,23,1997,2.5,0,0,0,3,1,5,1,1,2,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Jeffrey Schlupp,GHA,MF,27,1992,15.9,3,0,0,25,17,0,31,21,18,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Joel Ward,ENG,DF,30,1989,25.1,5,0,0,32,12,1,27,43,26,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Jordan Ayew,GHA,"FW,MF",28,1991,23.3,4,0,0,45,63,5,32,17,26,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Luka Milivojević,SRB,MF,29,1991,26.2,8,1,0,37,33,0,37,34,34,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Mamadou Sakho,FRA,DF,30,1990,3.1,0,0,0,2,1,0,0,3,2,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Martin Kelly,ENG,"DF,MF",30,1990,0.0,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Michy Batshuayi,BEL,FW,26,1993,8.1,0,0,0,11,5,11,5,4,3,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Nathaniel Clyne,ENG,DF,29,1991,12.7,2,0,0,4,2,0,23,19,10,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Patrick van Aanholt,NED,DF,29,1990,19.7,2,0,0,11,4,3,39,29,22,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Scott Dann,ENG,DF,33,1987,15.0,1,0,0,7,6,0,0,17,4,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Tyrick Mitchell,ENG,DF,20,1999,19.0,1,0,0,8,11,0,27,28,34,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Vicente Guaita,ESP,GK,33,1987,37.0,2,0,0,0,5,0,0,1,1,,,0,2020,misc
ENG-Premier League,2020/21,Crystal Palace,Wilfried Zaha,CIV,FW,27,1992,29.0,6,0,0,33,88,22,41,11,19,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Abdoulaye Doucouré,MLI,MF,27,1993,27.1,6,0,0,23,12,0,9,38,33,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Alex Iwobi,NGA,"MF,FW",24,1996,17.1,0,0,0,13,13,0,70,14,13,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Allan,BRA,MF,29,1991,22.8,6,0,0,37,30,0,4,19,46,,,0,2020,misc
ENG-Premier League,2020/21,Everton,André Gomes,POR,MF,27,1993,17.4,3,0,0,34,14,2,23,10,23,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Anthony Gordon,ENG,MF,19,2001,1.0,0,0,0,0,2,1,1,1,2,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Ben Godfrey,ENG,DF,22,1998,29.8,4,0,0,15,17,3,6,33,32,,,1,2020,misc
ENG-Premier League,2020/21,Everton,Bernard,BRA,"MF,FW",27,1992,5.1,2,0,0,6,7,0,13,8,3,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Cenk Tosun,TUR,"FW,MF",29,1991,0.5,1,0,0,1,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Dominic Calvert-Lewin,ENG,FW,23,1997,31.9,3,0,0,37,40,19,10,7,9,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Fabian Delph,ENG,MF,30,1989,3.0,1,0,0,3,7,0,6,3,3,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Gylfi Sigurðsson,ISL,"MF,FW",30,1989,25.0,2,0,0,22,18,0,100,34,21,,,0,2020,misc
ENG-Premier League,2020/21,Everton,James Rodríguez,COL,"FW,MF",29,1991,19.6,4,0,0,17,40,6,90,15,18,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Jean-Philippe Gbamin,CIV,"DF,MF",24,1995,0.1,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Jonjoe Kenny,ENG,DF,23,1997,0.9,0,0,0,0,0,1,6,1,1,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Jordan Pickford,ENG,GK,26,1994,30.5,1,0,0,1,3,0,0,3,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Joshua King,NOR,"FW,MF",28,1992,1.6,0,0,0,4,1,3,1,1,1,,,0,2020,misc
ENG-Premier League,2020/21,Everton,João Virgínia,POR,GK,20,1999,0.5,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Lucas Digne,FRA,"DF,MF",27,1993,29.8,2,1,0,35,22,4,215,34,38,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Mason Holgate,JAM,DF,23,1996,25.4,9,0,0,28,29,1,26,33,36,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Michael Keane,ENG,DF,27,1993,33.2,4,0,0,15,9,0,1,51,15,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Moise Kean,ITA,FW,20,2000,0.2,0,0,0,1,0,0,2,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Nathan Broadhead,WAL,"FW,MF",22,1998,0.0,0,0,0,0,0,0,0,0,1,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Niels Nkounkou,FRA,DF,19,2000,0.9,1,0,0,1,0,0,4,0,3,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Richarlison,BRA,"FW,MF",23,1997,31.8,4,1,0,34,73,25,37,16,31,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Robin Olsen,SWE,GK,30,1990,7.0,1,0,0,0,1,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Séamus Coleman,IRL,"DF,MF",31,1988,17.9,0,0,0,12,17,0,37,13,25,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Theo Walcott,ENG,"FW,MF",31,1989,0.1,0,0,0,0,0,0,0,0,0,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Tom Davies,ENG,MF,22,1998,15.8,3,0,0,28,26,0,5,30,15,,,0,2020,misc
ENG-Premier League,2020/21,Everton,Yerry Mina,COL,DF,25,1994,21.5,2,0,0,22,11,0,0,24,15,,,0,2020,misc
ENG-Premier League,2020/21,Fulham,Aboubakar Kamara,MTN,"MF,FW",25,1995,3.5,1,1,0,9,3,0,13,2,2,,,0,2020,misc
