league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,season_start,stat_type
ENG-Premier League,2021/22,Aston Villa,John McGinn,SCO,MF,26,1994,35,35,3090,34.3,3,4,7,3,0,0,8,0,0.09,0.12,0.2,0.09,0.2,2021,standard
ENG-Premier League,2021/22,Aston Villa,Keinan Davis,ENG,FW,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Aston Villa,Kortney Hause,ENG,DF,26,1995,7,4,397,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,2021,standard
ENG-Premier League,2021/22,Aston Villa,Leon Bailey,JAM,"FW,MF",23,1997,18,7,761,8.5,1,2,3,1,0,0,3,0,0.12,0.24,0.35,0.12,0.35,2021,standard
ENG-Premier League,2021/22,Aston Villa,Lucas Digne,FRA,DF,28,1993,16,16,1269,14.1,0,4,4,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,2021,standard
ENG-Premier League,2021/22,Aston Villa,Marvelous Nakamba,ZIM,MF,27,1994,16,10,904,10.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Aston Villa,Matt Targett,ENG,"DF,MF",25,1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,2021,standard
ENG-Premier League,2021/22,Aston Villa,Matty Cash,POL,"DF,MF",23,1997,38,38,3377,37.5,4,3,7,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,2021,standard
ENG-Premier League,2021/22,Aston Villa,Morgan Sanson,FRA,MF,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Aston Villa,Ollie Watkins,ENG,FW,25,1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,0.34,0.06,0.4,0.3,0.37,2021,standard
ENG-Premier League,2021/22,Aston Villa,Philippe Coutinho,BRA,"MF,FW",29,1992,19,16,1329,14.8,5,3,8,5,0,0,0,0,0.34,0.2,0.54,0.34,0.54,2021,standard
ENG-Premier League,2021/22,Aston Villa,Robin Olsen,SWE,GK,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Aston Villa,Tim Iroegbunam,ENG,MF,18,2003,3,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Aston Villa,Trézéguet,EGY,"FW,MF",26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Aston Villa,Tyrone Mings,ENG,DF,28,1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,2021,standard
ENG-Premier League,2021/22,Aston Villa,Wesley Moraes,BRA,FW,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Bryan Mbeumo,CMR,FW,21,1999,35,34,2905,32.3,4,7,11,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31,2021,standard
ENG-Premier League,2021/22,Brentford,Charlie Goode,ENG,DF,25,1995,6,4,450,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Christian Eriksen,DEN,MF,29,1992,11,10,939,10.4,1,4,5,1,0,0,1,0,0.1,0.38,0.48,0.1,0.48,2021,standard
ENG-Premier League,2021/22,Brentford,Christian Nørgaard,DEN,MF,27,1994,35,35,3054,33.9,3,4,7,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,2021,standard
ENG-Premier League,2021/22,Brentford,David Raya,ESP,GK,25,1995,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Dominic Thompson,ENG,MF,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Ethan Pinnock,JAM,DF,28,1993,32,32,2694,29.9,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,2021,standard
ENG-Premier League,2021/22,Brentford,Finley Stevens,WAL,DF,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Frank Onyeka,NGA,MF,23,1998,20,12,1045,11.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Ivan Toney,ENG,FW,25,1996,33,32,2909,32.3,12,5,17,7,5,5,8,0,0.37,0.15,0.53,0.22,0.37,2021,standard
ENG-Premier League,2021/22,Brentford,Jonas Lössl,DEN,GK,32,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Josh Dasilva,ENG,"MF,FW",22,1998,9,2,257,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Kristoffer Ajer,NOR,DF,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,2021,standard
ENG-Premier League,2021/22,Brentford,Mads Bech Sørensen,DEN,DF,22,1999,11,9,835,9.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Mads Bidstrup,DEN,MF,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Mads Roerslev,DEN,"MF,DF",22,1999,21,12,1240,13.8,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,2021,standard
ENG-Premier League,2021/22,Brentford,Marcus Forss,FIN,FW,22,1999,7,1,209,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43,2021,standard
ENG-Premier League,2021/22,Brentford,Mathias Jensen,DEN,MF,25,1996,31,19,1601,17.8,0,1,1,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06,2021,standard
ENG-Premier League,2021/22,Brentford,Mathias Jørgensen,DEN,DF,31,1990,8,6,518,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,2021,standard
ENG-Premier League,2021/22,Brentford,Nathan Young-Coombes,ENG,FW,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Pontus Jansson,SWE,DF,30,1991,37,37,3321,36.9,3,1,4,3,0,0,7,0,0.08,0.03,0.11,0.08,0.11,2021,standard
ENG-Premier League,2021/22,Brentford,Rico Henry,JAM,"MF,DF",24,1997,34,33,2776,30.8,3,0,3,3,0,0,2,0,0.1,0.0,0.1,0.1,0.1,2021,standard
ENG-Premier League,2021/22,Brentford,Saman Ghoddos,IRN,"FW,MF",27,1993,17,4,536,6.0,1,1,2,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,2021,standard
ENG-Premier League,2021/22,Brentford,Sergi Canós,ESP,MF,24,1997,31,25,2083,23.1,3,2,5,3,0,0,8,1,0.13,0.09,0.22,0.13,0.22,2021,standard
ENG-Premier League,2021/22,Brentford,Shandon Baptiste,GRN,MF,23,1998,22,9,910,10.1,1,0,1,1,0,0,2,1,0.1,0.0,0.1,0.1,0.1,2021,standard
ENG-Premier League,2021/22,Brentford,Tariqe Fosu,GHA,"FW,MF",25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brentford,Vitaly Janelt,GER,MF,23,1998,31,27,2298,25.5,4,0,4,4,0,0,3,0,0.16,0.0,0.16,0.16,0.16,2021,standard
ENG-Premier League,2021/22,Brentford,Yoane Wissa,COD,FW,24,1996,30,12,1284,14.3,7,1,8,7,0,0,0,0,0.49,0.07,0.56,0.49,0.56,2021,standard
ENG-Premier League,2021/22,Brentford,Álvaro Fernández,ESP,GK,23,1998,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Aaron Connolly,IRL,FW,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Adam Lallana,ENG,MF,33,1988,24,18,1561,17.3,0,1,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,2021,standard
ENG-Premier League,2021/22,Brighton,Adam Webster,ENG,DF,26,1995,22,16,1434,15.9,2,0,2,2,0,0,5,0,0.13,0.0,0.13,0.13,0.13,2021,standard
ENG-Premier League,2021/22,Brighton,Alexis Mac Allister,ARG,"MF,FW",22,1998,33,22,2123,23.6,5,2,7,3,2,3,4,0,0.21,0.08,0.3,0.13,0.21,2021,standard
ENG-Premier League,2021/22,Brighton,Dan Burn,ENG,DF,29,1992,13,12,1022,11.4,1,0,1,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,2021,standard
ENG-Premier League,2021/22,Brighton,Danny Welbeck,ENG,"FW,MF",30,1990,25,15,1478,16.4,6,2,8,6,0,0,0,0,0.37,0.12,0.49,0.37,0.49,2021,standard
ENG-Premier League,2021/22,Brighton,Enock Mwepu,ZAM,MF,23,1998,18,12,996,11.1,2,4,6,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,2021,standard
ENG-Premier League,2021/22,Brighton,Evan Ferguson,IRL,FW,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Jakub Moder,POL,"MF,FW",22,1999,28,19,1701,18.9,0,3,3,0,0,0,1,0,0.0,0.16,0.16,0.0,0.16,2021,standard
ENG-Premier League,2021/22,Brighton,Jason Steele,ENG,GK,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Jeremy Sarmiento,ECU,MF,19,2002,5,1,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Joël Veltman,NED,"DF,MF",29,1992,34,33,2874,31.9,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,2021,standard
ENG-Premier League,2021/22,Brighton,Jürgen Locadia,CUW,FW,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Leandro Trossard,BEL,"FW,MF",26,1994,34,32,2805,31.2,8,3,11,7,1,1,2,0,0.26,0.1,0.35,0.22,0.32,2021,standard
ENG-Premier League,2021/22,Brighton,Lewis Dunk,ENG,DF,29,1991,29,29,2573,28.6,1,0,1,1,0,0,3,1,0.03,0.0,0.03,0.03,0.03,2021,standard
ENG-Premier League,2021/22,Brighton,Marc Cucurella,ESP,"DF,MF",23,1998,35,35,3089,34.3,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,2021,standard
ENG-Premier League,2021/22,Brighton,Moisés Caicedo,ECU,MF,19,2001,8,8,660,7.3,1,1,2,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,2021,standard
ENG-Premier League,2021/22,Brighton,Neal Maupay,FRA,FW,24,1996,32,25,2276,25.3,8,2,10,7,1,2,7,0,0.32,0.08,0.4,0.28,0.36,2021,standard
ENG-Premier League,2021/22,Brighton,Pascal Groß,GER,MF,30,1991,29,24,2038,22.6,2,4,6,2,0,1,1,0,0.09,0.18,0.26,0.09,0.26,2021,standard
ENG-Premier League,2021/22,Brighton,Robert Sánchez,ESP,GK,23,1997,37,37,3329,37.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Shane Duffy,IRL,DF,29,1992,18,15,1436,16.0,1,0,1,1,0,0,7,0,0.06,0.0,0.06,0.06,0.06,2021,standard
ENG-Premier League,2021/22,Brighton,Solly March,ENG,MF,27,1994,31,17,1746,19.4,0,2,2,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,2021,standard
ENG-Premier League,2021/22,Brighton,Steven Alzate,COL,MF,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Tariq Lamptey,GHA,"MF,DF",20,2000,30,16,1561,17.3,0,2,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,2021,standard
ENG-Premier League,2021/22,Brighton,Taylor Richards,ENG,MF,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Brighton,Yves Bissouma,MLI,MF,24,1996,26,25,2111,23.5,1,2,3,1,0,0,10,0,0.04,0.09,0.13,0.04,0.13,2021,standard
ENG-Premier League,2021/22,Burnley,Aaron Lennon,ENG,"MF,FW",34,1987,28,17,1551,17.2,2,0,2,2,0,0,2,0,0.12,0.0,0.12,0.12,0.12,2021,standard
ENG-Premier League,2021/22,Burnley,Ashley Barnes,ENG,FW,31,1989,23,8,808,9.0,1,0,1,0,1,1,4,0,0.11,0.0,0.11,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Burnley,Ashley Westwood,ENG,MF,31,1990,27,26,2287,25.4,0,3,3,0,0,0,7,0,0.0,0.12,0.12,0.0,0.12,2021,standard
ENG-Premier League,2021/22,Burnley,Ben Mee,ENG,DF,31,1989,21,21,1839,20.4,3,0,3,3,0,0,3,0,0.15,0.0,0.15,0.15,0.15,2021,standard
ENG-Premier League,2021/22,Burnley,Charlie Taylor,ENG,DF,27,1993,31,30,2731,30.3,0,3,3,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,2021,standard
ENG-Premier League,2021/22,Burnley,Chris Wood,NZL,FW,29,1991,17,17,1367,15.2,3,0,3,3,0,0,1,0,0.2,0.0,0.2,0.2,0.2,2021,standard
ENG-Premier League,2021/22,Burnley,Connor Roberts,WAL,DF,25,1995,21,19,1692,18.8,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,2021,standard
ENG-Premier League,2021/22,Burnley,Dale Stephens,ENG,MF,32,1989,3,1,124,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Burnley,Dwight McNeil,ENG,MF,21,1999,38,35,3107,34.5,0,1,1,0,0,0,1,0,0.0,0.03,0.03,0.0,0.03,2021,standard
ENG-Premier League,2021/22,Burnley,Erik Pieters,NED,DF,32,1988,12,8,730,8.1,0,1,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,2021,standard
ENG-Premier League,2021/22,Burnley,Jack Cork,ENG,MF,32,1989,20,20,1670,18.6,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,2021,standard
ENG-Premier League,2021/22,Burnley,James Tarkowski,ENG,DF,28,1992,35,35,3106,34.5,1,2,3,1,0,0,11,0,0.03,0.06,0.09,0.03,0.09,2021,standard
ENG-Premier League,2021/22,Burnley,Jay Rodriguez,ENG,FW,32,1989,29,13,1382,15.4,2,2,4,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,2021,standard
ENG-Premier League,2021/22,Burnley,Josh Brownhill,ENG,MF,25,1995,35,32,2955,32.8,2,3,5,2,0,0,10,0,0.06,0.09,0.15,0.06,0.15,2021,standard
ENG-Premier League,2021/22,Burnley,Jóhann Berg Guðmundsson,ISL,MF,30,1990,18,13,1102,12.2,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,2021,standard
ENG-Premier League,2021/22,Burnley,Kevin Long,IRL,DF,30,1990,6,4,410,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Burnley,Matthew Lowton,ENG,DF,32,1989,25,20,1772,19.7,1,2,3,1,0,0,3,1,0.05,0.1,0.15,0.05,0.15,2021,standard
ENG-Premier League,2021/22,Burnley,Matěj Vydra,CZE,FW,29,1992,22,5,679,7.5,2,3,5,2,0,0,1,0,0.27,0.4,0.66,0.27,0.66,2021,standard
ENG-Premier League,2021/22,Burnley,Maxwel Cornet,CIV,"FW,MF",24,1996,26,21,1766,19.6,9,1,10,9,0,1,2,0,0.46,0.05,0.51,0.46,0.51,2021,standard
ENG-Premier League,2021/22,Burnley,Nathan Collins,IRL,DF,20,2001,19,18,1670,18.6,2,0,2,2,0,0,2,1,0.11,0.0,0.11,0.11,0.11,2021,standard
ENG-Premier League,2021/22,Burnley,Nick Pope,ENG,GK,29,1992,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Burnley,Wayne Hennessey,WAL,GK,34,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Burnley,Wout Weghorst,NED,FW,28,1992,20,17,1450,16.1,2,3,5,2,0,0,3,0,0.12,0.19,0.31,0.12,0.31,2021,standard
ENG-Premier League,2021/22,Chelsea,Andreas Christensen,DEN,DF,25,1996,19,17,1496,16.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Chelsea,Antonio Rüdiger,GER,DF,28,1993,34,34,3035,33.7,3,0,3,3,0,0,9,0,0.09,0.0,0.09,0.09,0.09,2021,standard
ENG-Premier League,2021/22,Chelsea,Ben Chilwell,ENG,MF,24,1996,7,6,542,6.0,3,1,4,3,0,0,0,0,0.5,0.17,0.66,0.5,0.66,2021,standard
ENG-Premier League,2021/22,Chelsea,Callum Hudson-Odoi,ENG,MF,20,2000,15,11,962,10.7,1,2,3,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,2021,standard
ENG-Premier League,2021/22,Chelsea,Christian Pulisic,USA,"MF,FW",22,1998,22,13,1290,14.3,6,2,8,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56,2021,standard
ENG-Premier League,2021/22,Chelsea,César Azpilicueta,ESP,"DF,MF",31,1989,27,24,2070,23.0,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,2021,standard
ENG-Premier League,2021/22,Chelsea,Emerson Palmieri,ITA,"DF,MF",26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021,standard
ENG-Premier League,2021/22,Chelsea,Hakim Ziyech,MAR,"MF,FW",28,1993,23,14,1319,14.7,4,3,7,4,0,0,3,0,0.27,0.2,0.48,0.27,0.48,2021,standard
